PL_Index,LP_Index,Pivot_Energy,PLEC_Flux_Density,LP_Flux_Density,PL_Flux_Density,Frac_Variability,Variability_Index,Npred,LP_beta,LP_SigCurv,Energy_Flux100,PLEC_SigCurv,Flux1000,Signif_Avg,PLEC_Exp_Index,Source_Name,ASSOC_FGL,CLASS1,ASSOC1
2.5111988,2.51887,851.2023,2.0554645e-12,2.1009665e-12,1.8594152e-12,0.90885466,336.54477,2532.4946,0.11399639,3.9449594,1.09525115e-11,3.4348795,8.300622e-10,28.707115,0.6666667,4FGL J0017.5-0514,3FGL J0017.6-0512,fsrq,PMN J0017-0512
2.2390501,2.2159178,1596.9047,1.1537284e-13,1.1699035e-13,1.1232279e-13,0.2706897,16.263166,570.56525,0.031195136,0.43823272,3.008653e-12,0.0,2.5775332e-10,10.465015,0.6666667,4FGL J0017.8+1455,,bll,GB6 J0017+1450
1.7408901,1.5384591,3904.386,2.0235399e-14,2.1489472e-14,1.8455027e-14,0.10265498,13.713926,221.93294,0.11800475,2.3384385,3.1082788e-12,2.2797177,2.591897e-10,15.602418,0.6666667,4FGL J0018.4+2946,3FGL J0018.4+2947,bll,RBS 0042
2.8122284,2.6147585,406.54874,3.6477605e-12,3.6782435e-12,2.9837732e-12,1.0447963,90.94286,793.4095,0.24046151,2.4291492,2.7862957e-12,2.6064687,1.2819212e-10,7.9100785,0.6666667,4FGL J0018.8+2611,,fsrq,4C +25.01
2.3001575,2.2737155,1270.1489,2.086032e-13,2.0845721e-13,1.9963476e-13,0.9787778,108.18139,832.7236,0.034543883,0.7750704,3.2228322e-12,0.8088763,2.6556024e-10,14.665922,0.6666667,4FGL J0019.2-5640,3FGL J0019.1-5645,bcu,PMN J0019-5641
2.0810044,2.0618,2267.393,1.2194603e-13,1.2047839e-13,1.1669412e-13,0.25407124,26.699419,1168.5735,0.020807607,0.6939304,6.547135e-12,1.3670998,5.890671e-10,22.789745,0.6666667,4FGL J0019.3-8152,3FGL J0018.9-8152,bll,PMN J0019-8152
2.60885,2.6373684,1445.7444,5.3102363e-13,5.3134645e-13,4.6947065e-13,1.3735869,494.1492,2128.8896,0.107137114,3.0519297,1.1031923e-11,3.125316,8.2522406e-10,18.718227,0.6666667,4FGL J0019.6+7327,,fsrq,S5 0016+73
2.1834295,2.1397257,1725.0594,1.3177976e-13,1.3443498e-13,1.2564209e-13,0.34476462,24.544933,710.1376,0.050869294,1.0161284,3.95498e-12,0.70673275,3.4775816e-10,14.484995,0.6666667,4FGL J0019.6+2022,3FGL J0019.4+2021,bll,PKS 0017+200
2.6460407,2.803282,1363.1714,1.7181952e-13,1.7016323e-13,1.2682792e-13,0.0,7.700611,524.48254,0.2107964,1.9125563,3.1240696e-12,1.6770557,1.7490034e-10,3.2042253,0.6666667,4FGL J0020.3+6919,,bcu,TXS 0016+691
1.9573873,1.825452,3655.1777,1.3868446e-14,1.38172605e-14,1.241062e-14,0.4631552,24.258038,228.60388,0.09386427,0.99954736,1.8301905e-12,1.1562603,1.6191629e-10,8.11823,0.6666667,4FGL J0021.0+0322,3FGL J0020.9+0323,bll,2MASS J00205023+0323578
2.6953835,2.6620958,620.90466,7.095007e-13,6.8533607e-13,5.0582227e-13,0.38661122,20.074259,421.93057,0.26767126,2.0716486,1.4560738e-12,2.088906,8.4577366e-11,4.5856223,0.6666667,4FGL J0021.5-2221,,bcu,PMN J0022-2221
2.1219785,2.008503,969.3571,8.3519194e-13,8.6834945e-13,8.003475e-13,0.34275222,48.788124,1204.965,0.08174306,2.9311254,6.3725596e-12,2.75846,7.1251083e-10,29.602173,0.6666667,4FGL J0021.5-2552,3FGL J0021.6-2553,bll,CRATES J002132.55-255049.3
2.1330051,2.0416787,2153.0115,4.4851072e-14,4.6829717e-14,3.9923383e-14,0.34925744,20.356058,338.55624,0.12851131,1.4672662,2.0150505e-12,0.99266386,1.7993898e-10,7.882179,0.6666667,4FGL J0021.6-0855,,bll,NVSS J002142-090044
